timestamp,open,high,low,close,volume
2020-05-22 16:00:00,118.3900,118.6500,118.3300,118.3900,202436
2020-05-22 15:55:00,118.5200,118.5500,118.3400,118.4000,120994
2020-05-22 15:50:00,118.3000,118.4700,118.2900,118.4700,51599
2020-05-22 15:45:00,118.2600,118.3600,118.1550,118.2850,52477
2020-05-22 15:40:00,118.2700,118.3400,118.2150,118.2600,28159
2020-05-22 15:35:00,118.1200,118.3400,118.1000,118.2850,46359
2020-05-22 15:30:00,118.2100,118.2100,118.0400,118.1200,47201
2020-05-22 15:25:00,118.2400,118.3100,118.0700,118.2300,49440
2020-05-22 15:20:00,118.3800,118.3900,118.2300,118.2300,33229
2020-05-22 15:15:00,118.5500,118.5700,118.3600,118.3650,39794
2020-05-22 15:10:00,118.4700,118.5447,118.4300,118.5400,28874
2020-05-22 15:05:00,118.3800,118.5100,118.3300,118.4700,23079
2020-05-22 15:00:00,118.3202,118.4250,118.3050,118.3800,21426
2020-05-22 14:55:00,118.4010,118.4100,118.2800,118.3200,24873
2020-05-22 14:50:00,118.3300,118.4400,118.3100,118.4100,33594
2020-05-22 14:45:00,118.5200,118.5500,118.3100,118.3200,44693
2020-05-22 14:40:00,118.5600,118.5600,118.4100,118.5300,19116
2020-05-22 14:35:00,118.4255,118.5650,118.3900,118.5550,23495
2020-05-22 14:30:00,118.4200,118.4795,118.3860,118.4300,19228
2020-05-22 14:25:00,118.5248,118.5300,118.4000,118.4000,24616
2020-05-22 14:20:00,118.4900,118.5422,118.4600,118.5000,12314
2020-05-22 14:15:00,118.5300,118.5800,118.4500,118.4800,18065
2020-05-22 14:10:00,118.4800,118.5550,118.4100,118.5140,23506
2020-05-22 14:05:00,118.2800,118.4800,118.2500,118.4700,22275
2020-05-22 14:00:00,118.1200,118.3000,118.1156,118.2700,11919
2020-05-22 13:55:00,118.2050,118.2100,118.0700,118.1400,16747
2020-05-22 13:50:00,118.2700,118.3300,118.2100,118.2100,23634
2020-05-22 13:45:00,118.2600,118.2750,118.1700,118.2400,17007
2020-05-22 13:40:00,118.3600,118.3900,118.2600,118.2600,16003
2020-05-22 13:35:00,118.4100,118.4470,118.3500,118.3500,16528
2020-05-22 13:30:00,118.3900,118.4600,118.3500,118.4100,21050
2020-05-22 13:25:00,118.2200,118.4000,118.2100,118.3842,17197
2020-05-22 13:20:00,118.0900,118.2300,118.0700,118.2300,26672
2020-05-22 13:15:00,118.1000,118.1700,118.0800,118.0900,23135
2020-05-22 13:10:00,118.1400,118.1800,118.0800,118.0850,20289
2020-05-22 13:05:00,118.1100,118.1687,118.0500,118.1500,24377
2020-05-22 13:00:00,118.1400,118.2600,118.0800,118.0801,33130
2020-05-22 12:55:00,117.9600,118.1390,117.9400,118.1369,57016
2020-05-22 12:50:00,118.0750,118.0800,117.9200,117.9400,21407
2020-05-22 12:45:00,117.9300,118.1041,117.9200,118.0700,12243
2020-05-22 12:40:00,117.7870,118.0316,117.7870,117.9200,26622
2020-05-22 12:35:00,117.7500,117.8700,117.7400,117.7884,19828
2020-05-22 12:30:00,117.7700,117.8282,117.7000,117.7400,19254
2020-05-22 12:25:00,117.8300,117.9100,117.7400,117.7700,23465
2020-05-22 12:20:00,117.8950,117.9200,117.7200,117.8300,31223
2020-05-22 12:15:00,117.9400,117.9600,117.8000,117.9000,30066
2020-05-22 12:10:00,118.1406,118.1406,117.9300,117.9300,19344
2020-05-22 12:05:00,118.0700,118.2300,118.0700,118.1400,23039
2020-05-22 12:00:00,118.0200,118.0700,117.9600,118.0700,29571
2020-05-22 11:55:00,118.0400,118.1000,117.9900,118.0100,32133
2020-05-22 11:50:00,118.0400,118.1450,117.9950,118.0497,40541
2020-05-22 11:45:00,118.3100,118.3199,117.9900,118.0216,25271
2020-05-22 11:40:00,118.2500,118.3500,118.2100,118.3100,17976
2020-05-22 11:35:00,118.3000,118.3210,118.1400,118.2400,21752
2020-05-22 11:30:00,118.0300,118.3800,117.9714,118.3100,32207
2020-05-22 11:25:00,118.3900,118.3940,118.0300,118.0300,21988
2020-05-22 11:20:00,118.3500,118.3800,118.1600,118.3800,20156
2020-05-22 11:15:00,118.3400,118.3400,118.2400,118.3000,19340
2020-05-22 11:10:00,118.2800,118.3700,118.2100,118.3500,15887
2020-05-22 11:05:00,118.1800,118.3600,118.1600,118.3200,18190
2020-05-22 11:00:00,118.3350,118.3350,118.1300,118.1900,18274
2020-05-22 10:55:00,118.2200,118.4639,118.1600,118.3600,26474
2020-05-22 10:50:00,118.4100,118.5500,118.2300,118.2300,20376
2020-05-22 10:45:00,118.7300,118.8200,118.4300,118.4400,16774
2020-05-22 10:40:00,118.7350,118.7350,118.5700,118.7200,36579
2020-05-22 10:35:00,118.4100,118.7900,118.3200,118.7200,37513
2020-05-22 10:30:00,118.1400,118.3900,118.1300,118.3900,23409
2020-05-22 10:25:00,118.0951,118.2400,118.0500,118.1583,27297
2020-05-22 10:20:00,117.7050,118.1200,117.6700,118.0800,29757
2020-05-22 10:15:00,117.7300,117.9500,117.5900,117.7200,65503
2020-05-22 10:10:00,117.8000,117.9700,117.6200,117.7100,75661
2020-05-22 10:05:00,118.0600,118.1050,117.6300,117.7900,27551
2020-05-22 10:00:00,118.1700,118.3100,117.9218,118.0300,36280
2020-05-22 09:55:00,118.1100,118.1900,117.9000,118.1500,44325
2020-05-22 09:50:00,117.9330,118.1900,117.7200,118.1372,60236
2020-05-22 09:45:00,118.2000,118.5182,117.9000,117.9600,61132
2020-05-22 09:40:00,118.3950,118.3950,117.8300,118.2600,115269
2020-05-22 09:35:00,119.3700,119.4650,118.3300,118.4300,117985
2020-05-21 16:00:00,119.0400,119.2300,119.0100,119.1200,211298
2020-05-21 15:55:00,119.2100,119.2400,118.9700,119.0400,161091
2020-05-21 15:50:00,119.4600,119.4600,119.2200,119.2200,93378
2020-05-21 15:45:00,119.4200,119.4700,119.2657,119.4600,59126
2020-05-21 15:40:00,119.4500,119.5200,119.3400,119.4350,55935
2020-05-21 15:35:00,119.5250,119.6400,119.3901,119.4400,75005
2020-05-21 15:30:00,119.5900,119.6250,119.4900,119.5500,49912
2020-05-21 15:25:00,119.6300,119.6500,119.5700,119.5700,27211
2020-05-21 15:20:00,119.5100,119.6468,119.4100,119.6300,36142
2020-05-21 15:15:00,119.4700,119.5100,119.3200,119.5100,37956
2020-05-21 15:10:00,119.4000,119.4800,119.3800,119.4800,26877
2020-05-21 15:05:00,119.3800,119.6000,119.3500,119.4000,47817
2020-05-21 15:00:00,119.4901,119.5250,119.3500,119.3500,22995
2020-05-21 14:55:00,119.4400,119.5550,119.3300,119.4900,65161
2020-05-21 14:50:00,119.6900,119.6900,119.4301,119.4400,106227
2020-05-21 14:45:00,119.6300,119.7200,119.6300,119.7050,25940
2020-05-21 14:40:00,119.9100,119.9200,119.6100,119.6310,41307
2020-05-21 14:35:00,120.0700,120.1200,119.8300,119.9100,46969
2020-05-21 14:30:00,120.0800,120.1100,120.0300,120.0600,15686
2020-05-21 14:25:00,120.0259,120.1600,120.0259,120.0900,31899
2020-05-21 14:20:00,120.0700,120.0800,119.9900,120.0344,15546
2020-05-21 14:15:00,120.1100,120.1100,120.0100,120.0550,19459
